Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2016,Hyundai,Creta,SX PLUS AT 1.6 PETROL,"54,020 km",Petrol,1st owner,₹9.43L,"EMI ₹17,949/m"
2019,Nissan,Micra,XV CVT,"58,956 km",Petrol,1st owner,₹5.15L,"EMI ₹10,068/m"
2020,Hyundai,GRAND,I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"37,438 km",Petrol,1st owner,₹6.40L,"EMI ₹12,512/m"
2017,Hyundai,Elite,i20 SPORTZ 1.2,"54,005 km",Petrol,1st owner,₹5.96L,"EMI ₹11,652/m"
2021,Tata,Safari,XZA PLUS,"44,726 km",Diesel,2nd owner,₹18.90L,"EMI ₹35,981/m"
2016,Hyundai,Elite,i20 ASTA 1.2,"76,961 km",Petrol,2nd owner,₹5.61L,"EMI ₹10,968/m"
2019,Volkswagen,Polo,HIGHLINE PLUS 1.0,"37,326 km",Petrol,1st owner,₹7.06L,"EMI ₹13,793/m"
2019,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,"87,655 km",Diesel,1st owner,₹13.96L,"EMI ₹26,572/m"
2017,Maruti,Wagon,R 1.0 VXI + (O) AMT,"50,158 km",Petrol,1st owner,₹4.04L,"EMI ₹7,894/m"
2022,Honda,Amaze,1.2L I-VTEC S,"4,990 km",Petrol,1st owner,₹7.64L,"EMI ₹14,936/m"
2016,Datsun,Redi,Go S,"90,601 km",Petrol,1st owner,₹2.16L,"EMI ₹4,216/m"
2019,Hyundai,NEW,SANTRO SPORTZ MT,"53,906 km",Petrol,2nd owner,₹4.10L,"EMI ₹8,017/m"
2019,Maruti,Baleno,ZETA PETROL 1.2,"61,942 km",Petrol,1st owner,₹6.63L,"EMI ₹12,962/m"
2019,Skoda,Rapid,STYLE 1.6 MPI,"94,695 km",Petrol,1st owner,₹7.90L,"EMI ₹15,445/m"
2017,Maruti,Baleno,ALPHA CVT PETROL 1.2,"72,645 km",Petrol,1st owner,₹6.19L,"EMI ₹12,102/m"
2018,Honda,City,1.5L I-VTEC V MT,"39,345 km",Petrol,1st owner,₹8.08L,"EMI ₹15,380/m"
2016,Maruti,Celerio,ZXI AMT,"48,555 km",Petrol,1st owner,₹4.27L,"EMI ₹8,348/m"
2013,Honda,Amaze,1.2L I-VTEC S,"99,731 km",Petrol,1st owner,₹3.75L,"EMI ₹9,875/m"
2018,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT DUAL TONE,"94,790 km",Petrol,1st owner,₹4.83L,"EMI ₹9,443/m"
2017,Maruti,Alto,800 LXI O,"99,944 km",Petrol,1st owner,₹2.77L,"EMI ₹5,408/m"
2022,Maruti,IGNIS,ZETA 1.2,"19,796 km",Petrol,1st owner,₹5.96L,"EMI ₹11,652/m"
2022,Nissan,MAGNITE,XL TURBO CVT,"12,141 km",Petrol,1st owner,₹8.11L,"EMI ₹15,437/m"
2015,Hyundai,Elite,i20 ASTA 1.2,"62,427 km",Petrol,2nd owner,₹5.19L,"EMI ₹10,147/m"
2018,Renault,Kwid,CLIMBER 1.0 AMT,"56,765 km",Petrol,1st owner,₹3.94L,"EMI ₹7,699/m"
2013,Honda,City,1.5L I-VTEC S MT,"62,384 km",Petrol,2nd owner,₹4.36L,"EMI ₹11,471/m"
2019,Maruti,Baleno,ALPHA PETROL 1.2,"28,416 km",Petrol,1st owner,₹7.00L,"EMI ₹13,685/m"
2014,Maruti,Alto,K10 VXI,"30,103 km",Petrol,2nd owner,₹2.50L,"EMI ₹5,554/m"
2021,Toyota,Glanza,V,"22,352 km",Petrol,1st owner,₹7.95L,"EMI ₹15,542/m"
2018,Hyundai,Creta,SX AT 1.6 PETROL,"60,197 km",Petrol,1st owner,₹11.54L,"EMI ₹21,965/m"
2015,Ford,Ecosport,TITANIUM 1.5L DIESEL,"98,881 km",Diesel,2nd owner,₹5.07L,"EMI ₹11,282/m"
2016,Maruti,Wagon,R 1.0 VXI AMT,"62,667 km",Petrol,1st owner,₹4.05L,"EMI ₹7,915/m"
2021,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,"56,977 km",Petrol,1st owner,₹14.82L,"EMI ₹28,209/m"
2021,Hyundai,NEW,SANTRO SPORTZ AMT,"26,825 km",Petrol,1st owner,₹5.63L,"EMI ₹11,003/m"
2016,Maruti,Celerio,VXI (O),"39,589 km",Petrol,1st owner,₹3.90L,"EMI ₹7,632/m"
2020,Hyundai,VENUE,S 1.2,"65,237 km",Petrol,2nd owner,₹7.25L,"EMI ₹14,168/m"
2019,Renault,Kwid,RXT 1.0 AMT,"15,758 km",Petrol,2nd owner,₹3.84L,"EMI ₹7,507/m"
2021,Maruti,Baleno,DELTA PETROL 1.2,"48,054 km",Petrol,1st owner,₹6.52L,"EMI ₹12,747/m"
2021,Maruti,Swift,ZXI PLUS AMT,"59,424 km",Petrol,1st owner,₹7.40L,"EMI ₹14,467/m"
2023,Renault,TRIBER,RXZ DUAL TONE,"25,037 km",Petrol,1st owner,₹8.20L,"EMI ₹15,606/m"
2020,Honda,Amaze,1.2L I-VTEC VX,"24,093 km",Petrol,1st owner,₹7.56L,"EMI ₹14,778/m"
2016,Maruti,Alto,K10 VXI,"31,602 km",Petrol,1st owner,₹3.19L,"EMI ₹6,230/m"
2019,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,"67,460 km",Petrol,1st owner,₹8.69L,"EMI ₹16,541/m"
2022,Maruti,Ciaz,DELTA 1.5 SHVS MT PETROL,"20,719 km",Petrol,1st owner,₹8.50L,"EMI ₹16,179/m"
2022,Tata,PUNCH,CREATIVE MT,"43,093 km",Petrol,1st owner,₹7.96L,"EMI ₹15,556/m"
2020,Renault,Kwid,CLIMBER 1.0,"41,131 km",Petrol,1st owner,₹4.02L,"EMI ₹7,852/m"
2021,Mahindra,Thar,LX PETROL HT 4WD AT,"50,721 km",Petrol,1st owner,₹14.30L,"EMI ₹27,211/m"
2021,KIA,SELTOS,HTK PLUS 1.5 DIESEL,"48,886 km",Diesel,1st owner,₹12.70L,"EMI ₹24,173/m"
2021,Maruti,Baleno,ZETA PETROL 1.2,"56,774 km",Petrol,1st owner,₹7.17L,"EMI ₹14,017/m"
2018,Hyundai,Elite,i20 ASTA 1.2 DUAL TONE,"71,503 km",Petrol,2nd owner,₹6.12L,"EMI ₹11,965/m"
2013,Hyundai,i10,ASTA 1.2 AT SUNROOF,"32,902 km",Petrol,1st owner,₹4.15L,"EMI ₹10,925/m"
2018,Maruti,Baleno,DELTA DIESEL 1.3,"86,448 km",Diesel,1st owner,₹6.44L,"EMI ₹12,584/m"
2012,Hyundai,Verna,FLUIDIC 1.6 CRDI SX,"1,19,244 km",Diesel,3rd owner,₹3.79L,"EMI ₹17,841/m"
2021,Maruti,Vitara,Brezza VXI,"25,449 km",Petrol,1st owner,₹8.17L,"EMI ₹15,549/m"
2017,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"71,791 km",Petrol,1st owner,₹4.63L,"EMI ₹9,052/m"
2017,Maruti,Baleno,DELTA PETROL 1.2,"45,551 km",Petrol,1st owner,₹5.62L,"EMI ₹10,987/m"
2018,Maruti,Celerio,ZXI AMT,"18,827 km",Petrol,1st owner,₹4.59L,"EMI ₹8,977/m"
2021,Tata,ALTROZ,XZ PETROL,"37,608 km",Petrol,1st owner,₹7.63L,"EMI ₹14,917/m"
2021,Maruti,S,PRESSO VXI+,"16,759 km",Petrol,1st owner,₹4.34L,"EMI ₹8,485/m"
2021,Hyundai,GRAND,I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"24,198 km",Petrol,1st owner,₹6.84L,"EMI ₹13,372/m"
2020,Maruti,Baleno,ZETA PETROL 1.2,"75,196 km",Petrol,2nd owner,₹6.56L,"EMI ₹12,824/m"
2022,Maruti,Eeco,5 STR AC (O),"39,207 km",Petrol,2nd owner,₹4.94L,"EMI ₹9,666/m"
2015,Hyundai,Xcent,SX 1.2 (O),"1,16,884 km",Petrol,1st owner,₹4.21L,"EMI ₹9,366/m"
2021,Mahindra,Thar,LX P 4WD AT CONVERTIBLE,"39,089 km",Petrol,1st owner,₹14.02L,"EMI ₹26,686/m"
2020,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"39,717 km",Petrol,1st owner,₹5.74L,"EMI ₹11,222/m"
2019,Hyundai,NEW,SANTRO SPORTZ CNG,"88,987 km",CNG,2nd owner,₹5.42L,"EMI ₹10,596/m"
2019,Maruti,Swift,VXI,"40,850 km",Petrol,1st owner,₹5.67L,"EMI ₹11,085/m"
2020,Hyundai,VENUE,SX 1.0 TURBO,"31,131 km",Petrol,1st owner,₹8.84L,"EMI ₹16,826/m"
2021,Renault,TRIBER,RXZ DUAL TONE,"33,176 km",Petrol,1st owner,₹7.50L,"EMI ₹14,663/m"
2022,Maruti,XL6,ALPHA MT,"20,804 km",Petrol,1st owner,₹11.28L,"EMI ₹21,470/m"
2018,Maruti,IGNIS,DELTA 1.2 AMT,"90,874 km",Petrol,2nd owner,₹4.43L,"EMI ₹8,661/m"
2021,Maruti,Baleno,ZETA PETROL 1.2,"23,262 km",Petrol,1st owner,₹7.02L,"EMI ₹13,727/m"
2019,Tata,NEXON,XZ PLUS PETROL,"41,521 km",Petrol,1st owner,₹7.72L,"EMI ₹15,093/m"
2017,Honda,Amaze,1.2L I-VTEC S,"42,353 km",Petrol,1st owner,₹5.32L,"EMI ₹10,409/m"
2019,Maruti,Baleno,DELTA PETROL 1.2,"74,173 km",Petrol,1st owner,₹6.03L,"EMI ₹11,789/m"
2022,Tata,ALTROZ,XZA PLUS DARK EDTION,"28,466 km",Petrol,1st owner,₹8.33L,"EMI ₹15,855/m"
2020,Maruti,Baleno,ZETA PETROL 1.2,"65,323 km",Petrol,1st owner,₹6.69L,"EMI ₹13,079/m"
2021,KIA,SELTOS,HTX 1.5 DIESEL,"55,645 km",Diesel,1st owner,₹13.36L,"EMI ₹25,430/m"
2016,Honda,Amaze,1.2L I-VTEC SX,"81,183 km",Petrol,1st owner,₹4.34L,"EMI ₹8,485/m"
2017,Skoda,Rapid,STYLE 1.6 MPI AT,"1,06,132 km",Petrol,1st owner,₹6.55L,"EMI ₹14,570/m"
2019,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,"24,483 km",Petrol,1st owner,₹4.80L,"EMI ₹9,384/m"
2017,Maruti,IGNIS,DELTA 1.2,"70,873 km",Petrol,1st owner,₹4.20L,"EMI ₹8,211/m"
2013,Hyundai,i10,MAGNA 1.2,"54,312 km",Petrol,2nd owner,₹2.75L,"EMI ₹7,242/m"
2020,Maruti,Dzire,ZXI PLUS AMT,"32,142 km",Petrol,1st owner,₹7.36L,"EMI ₹14,389/m"
2020,Renault,TRIBER,RXT AMT,"35,604 km",Petrol,1st owner,₹6.54L,"EMI ₹12,786/m"
2023,Renault,Kwid,CLIMBER AMT 1.0,"10,731 km",Petrol,1st owner,₹5.60L,"EMI ₹10,948/m"
2019,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,"60,468 km",Petrol,1st owner,₹8.66L,"EMI ₹16,484/m"
2019,Maruti,New,Wagon-R VXI 1.2,"52,608 km",Petrol,2nd owner,₹4.30L,"EMI ₹8,407/m"
2016,Maruti,Alto,K10 VXI AMT,"85,292 km",Petrol,1st owner,₹3.09L,"EMI ₹6,041/m"
2017,Maruti,Dzire,ZXI PLUS AMT,"72,891 km",Petrol,2nd owner,₹5.91L,"EMI ₹11,554/m"
2022,Tata,NEXON,XZ PLUS (PREMIUM) PETROL,"22,121 km",Petrol,1st owner,₹10.86L,"EMI ₹20,674/m"
2021,Maruti,New,Wagon-R VXI (O) 1.2 AMT,"37,541 km",Petrol,1st owner,₹5.30L,"EMI ₹10,362/m"
2021,Tata,NEXON,XZA PLUS (O) PETROL,"24,019 km",Petrol,1st owner,₹10.70L,"EMI ₹20,362/m"
2021,MG,HECTOR,SHARP HYBRID 1.5 PETROL,"36,582 km",Petrol,1st owner,₹15.60L,"EMI ₹29,693/m"
2014,Maruti,Celerio,VXI AMT,"98,335 km",Petrol,1st owner,₹3.10L,"EMI ₹6,896/m"
2017,Honda,Jazz,1.2L I-VTEC V AT,"67,061 km",Petrol,1st owner,₹5.35L,"EMI ₹10,459/m"
2021,Mahindra,Thar,LX PETROL HT 4WD AT,"12,287 km",Petrol,1st owner,₹14.75L,"EMI ₹28,066/m"
2021,Volkswagen,Polo,TRENDLINE 1.0L,"49,595 km",Petrol,1st owner,₹5.68L,"EMI ₹11,098/m"
2016,Honda,Jazz,1.2L I-VTEC V,"84,613 km",Petrol,2nd owner,₹4.39L,"EMI ₹8,578/m"
2019,Maruti,Ertiga,VXI AT SHVS,"90,208 km",Petrol,2nd owner,₹8.27L,"EMI ₹15,741/m"
2013,Maruti,Swift,Dzire VXI,"96,722 km",Petrol,2nd owner,₹3.79L,"EMI ₹9,984/m"
2023,Hyundai,NEW,I20 ASTA (O) 1.2 MT,"27,330 km",Petrol,1st owner,₹9.20L,"EMI ₹17,511/m"
2022,Toyota,Glanza,G AMT,"18,863 km",Petrol,1st owner,₹8.46L,"EMI ₹16,103/m"
2018,Maruti,Ciaz,ALPHA AT 1.5 SHVS PETROL,"58,396 km",Petrol,1st owner,₹7.39L,"EMI ₹14,439/m"
2021,Hyundai,VENUE,S 1.2,"24,029 km",Petrol,1st owner,₹7.66L,"EMI ₹14,975/m"
2020,Maruti,Ertiga,VXI AT SHVS,"44,163 km",Petrol,1st owner,₹8.52L,"EMI ₹16,217/m"
2017,Ford,Ecosport,AMBIENTE 1.5L PETROL,"44,530 km",Petrol,1st owner,₹5.35L,"EMI ₹10,459/m"
2021,Maruti,Swift,ZXI,"32,870 km",Petrol,1st owner,₹6.64L,"EMI ₹12,981/m"
2023,Tata,NEXON,XZ PLUS LUXURY SUNROOF PETROL,"14,766 km",Petrol,1st owner,₹12.22L,"EMI ₹23,260/m"
2013,Volkswagen,Polo,HIGHLINE1.2L,"72,302 km",Petrol,1st owner,₹3.59L,"EMI ₹9,454/m"
2022,Maruti,Eeco,7 STR STD(O),"31,936 km",Petrol,1st owner,₹5.29L,"EMI ₹10,350/m"
2020,KIA,SELTOS,HTX 1.5 PETROL,"40,530 km",Petrol,1st owner,₹11.36L,"EMI ₹21,623/m"
2018,Honda,City,1.5L I-VTEC V MT,"69,791 km",Petrol,1st owner,₹7.41L,"EMI ₹14,488/m"
2017,Maruti,Ciaz,ALPHA 1.4 PETROL,"67,160 km",Petrol,1st owner,₹6.61L,"EMI ₹12,923/m"
2023,Hyundai,Creta,SX (O) IVT 1.5 PETROL,"10,324 km",Petrol,1st owner,₹15.70L,"EMI ₹29,884/m"
2021,Mahindra,XUV300,W8 (O) 1.2 PETROL,"32,102 km",Petrol,1st owner,₹10.55L,"EMI ₹20,075/m"
2019,Hyundai,NEW,SANTRO SPORTZ AMT,"30,447 km",Petrol,1st owner,₹5.03L,"EMI ₹9,837/m"
2021,Tata,Harrier,XZ PLUS 2.0L,"43,251 km",Diesel,1st owner,₹16.00L,"EMI ₹30,455/m"
2016,Honda,Jazz,1.2L I-VTEC V AT,"40,800 km",Petrol,1st owner,₹5.77L,"EMI ₹11,286/m"
2022,Mahindra,XUV700,AX 5 P MT 7 STR,"4,910 km",Petrol,1st owner,₹15.81L,"EMI ₹30,093/m"
2021,Maruti,XL6,ZETA AT,"51,790 km",Petrol,2nd owner,₹9.84L,"EMI ₹18,730/m"
2020,Hyundai,NEW,I20 SPORTZ 1.2 AT,"58,691 km",Petrol,1st owner,₹7.55L,"EMI ₹14,756/m"
2013,Maruti,Swift,ZDI,"73,764 km",Diesel,1st owner,₹4.57L,"EMI ₹15,184/m"
2014,Hyundai,Grand,i10 ASTA 1.2 KAPPA VTVT,"45,659 km",Petrol,1st owner,₹4.23L,"EMI ₹9,409/m"
2022,Maruti,Baleno,ZETA PETROL 1.2,"26,006 km",Petrol,1st owner,₹7.77L,"EMI ₹15,190/m"
2018,Tata,Tiago,XZA PETROL,"88,033 km",Petrol,1st owner,₹4.65L,"EMI ₹9,091/m"
2015,Maruti,Swift,Dzire ZXI,"76,259 km",Petrol,1st owner,₹4.84L,"EMI ₹9,471/m"
2018,Maruti,Baleno,ZETA PETROL 1.2,"64,855 km",Petrol,1st owner,₹5.99L,"EMI ₹11,711/m"
2023,Maruti,XL6,ALPHA PLUS MT,"16,463 km",Petrol,1st owner,₹12.70L,"EMI ₹24,173/m"
2017,Maruti,Ciaz,ALPHA 1.4 PETROL,"91,883 km",Petrol,1st owner,₹6.35L,"EMI ₹12,422/m"
2015,Maruti,Celerio,VXI,"45,388 km",Petrol,1st owner,₹3.51L,"EMI ₹6,862/m"
2018,Maruti,Swift,ZXI AMT,"72,465 km",Petrol,2nd owner,₹5.89L,"EMI ₹11,519/m"
2019,Maruti,S,PRESSO VXI PLUS AMT,"12,003 km",Petrol,1st owner,₹4.42L,"EMI ₹8,641/m"
2019,Hyundai,Elite,i20 SPORTZ PLUS 1.2,"44,130 km",Petrol,1st owner,₹6.29L,"EMI ₹12,300/m"
2022,Hyundai,VENUE,S (O) 1.0 TURBO IMT,"24,522 km",Petrol,1st owner,₹9.26L,"EMI ₹17,626/m"
2018,Mahindra,XUV500,W11,"60,114 km",Diesel,1st owner,₹10.91L,"EMI ₹20,766/m"
2016,Tata,Tiago,XT PETROL,"93,753 km",Petrol,2nd owner,₹3.03L,"EMI ₹5,924/m"
2021,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,"56,203 km",Petrol,1st owner,₹10.22L,"EMI ₹19,453/m"
2019,Volkswagen,Polo,HIGHLINE PLUS 1.0 16 ALLOY,"60,508 km",Petrol,2nd owner,₹5.50L,"EMI ₹10,753/m"
2017,Tata,Tiago,XZA PETROL,"68,738 km",Petrol,1st owner,₹3.99L,"EMI ₹7,801/m"
2013,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"91,026 km",Petrol,2nd owner,₹3.17L,"EMI ₹8,348/m"
