Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2017,Hyundai,Creta,SX PLUS AT 1.6 PETROL,"75,759 km",Petrol,2nd owner,₹9.40L,"EMI ₹17,892/m"
2023,Maruti,Alto,K10 VXI PLUS AMT,"8,023 km",Petrol,1st owner,₹5.59L,"EMI ₹10,929/m"
2017,Maruti,Dzire,ZDI PLUS AMT,"1,14,715 km",Diesel,1st owner,₹6.62L,"EMI ₹14,724/m"
2022,Maruti,Alto,VXI,"19,886 km",Petrol,1st owner,₹3.80L,"EMI ₹7,429/m"
2022,Renault,Kwid,CLIMBER AMT 1.0,"4,159 km",Petrol,1st owner,₹5.75L,"EMI ₹11,239/m"
2017,Hyundai,Verna,1.6 VTVT SX AT,"84,231 km",Petrol,3rd owner,₹7.29L,"EMI ₹14,252/m"
2021,Maruti,Dzire,VXI,"39,270 km",Petrol,1st owner,₹7.14L,"EMI ₹13,959/m"
2021,Tata,ALTROZ,XT PETROL,"15,099 km",Petrol,1st owner,₹6.85L,"EMI ₹13,392/m"
2021,Maruti,Dzire,VXI,"45,065 km",Petrol,1st owner,₹7.02L,"EMI ₹13,723/m"
2019,Maruti,Baleno,ZETA PETROL 1.2,"46,107 km",Petrol,1st owner,₹6.64L,"EMI ₹12,981/m"
2018,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,"26,583 km",Petrol,1st owner,₹4.79L,"EMI ₹9,358/m"
2019,Hyundai,i20,Active 1.2 SX,"28,275 km",Petrol,2nd owner,₹7.17L,"EMI ₹14,017/m"
2019,Honda,Amaze,1.2L I-VTEC V,"37,617 km",Petrol,1st owner,₹6.63L,"EMI ₹12,962/m"
2017,Maruti,Baleno,DELTA PETROL 1.2,"44,678 km",Petrol,1st owner,₹5.60L,"EMI ₹10,954/m"
2021,Tata,NEXON,XZ PETROL,"34,788 km",Petrol,1st owner,₹8.90L,"EMI ₹16,940/m"
2022,Honda,Amaze,1.2L I-VTEC VX CVT,"39,307 km",Petrol,1st owner,₹8.11L,"EMI ₹15,437/m"
2023,Maruti,New,Wagon-R ZXI 1.2,"40,242 km",Petrol,1st owner,₹6.08L,"EMI ₹11,887/m"
2013,Maruti,Alto,800 LXI,"87,198 km",Petrol,1st owner,₹2.08L,"EMI ₹5,477/m"
2019,Hyundai,Elite,i20 SPORTZ PLUS 1.4 CRDI,"76,074 km",Diesel,1st owner,₹7.03L,"EMI ₹13,747/m"
2014,Maruti,Swift,Dzire VDI,"88,746 km",Diesel,1st owner,₹4.91L,"EMI ₹12,919/m"
2023,Hyundai,NEW,I20 ASTA 1.2 MT,"15,511 km",Petrol,1st owner,₹8.55L,"EMI ₹16,274/m"
2022,Maruti,Baleno,ALPHA 1.2 AGS,"35,349 km",Petrol,1st owner,₹8.91L,"EMI ₹16,959/m"
2020,Hyundai,VENUE,S 1.2,"73,905 km",Petrol,1st owner,₹7.27L,"EMI ₹14,213/m"
2014,Hyundai,Verna,FLUIDIC 1.6 CRDI SX,"92,803 km",Diesel,2nd owner,₹4.80L,"EMI ₹12,632/m"
2021,Tata,NEXON,XMA SUNROOF PETROL,"53,495 km",Petrol,1st owner,₹8.94L,"EMI ₹17,016/m"
2018,Tata,Tiago,XT PETROL,"75,958 km",Petrol,1st owner,₹4.36L,"EMI ₹8,524/m"
2020,Volkswagen,Polo,HIGHLINE PLUS 1.0,"35,325 km",Petrol,2nd owner,₹6.76L,"EMI ₹13,216/m"
2022,Maruti,Swift,VXI,"48,018 km",Petrol,1st owner,₹6.59L,"EMI ₹12,883/m"
2018,Hyundai,Grand,i10 ASTA 1.2 KAPPA VTVT,"52,878 km",Petrol,1st owner,₹5.32L,"EMI ₹10,400/m"
2020,Renault,Kwid,CLIMBER 1.0 (O),"73,577 km",Petrol,1st owner,₹4.00L,"EMI ₹7,820/m"
2013,Maruti,Swift,VDI,"69,399 km",Diesel,1st owner,₹4.31L,"EMI ₹14,303/m"
2022,Hyundai,GRAND,I10 NIOS SPORTZ 1.2 KAPPA VTVT,"40,969 km",Petrol,1st owner,₹6.76L,"EMI ₹13,216/m"
2019,Hyundai,GRAND,I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"34,527 km",Petrol,1st owner,₹6.38L,"EMI ₹12,465/m"
2022,Mahindra,Thar,LX PETROL HT 4WD AT,"26,217 km",Petrol,2nd owner,₹15.08L,"EMI ₹28,703/m"
2021,Mahindra,XUV300,W8 (O) 1.5 DIESEL,"65,076 km",Diesel,1st owner,₹10.89L,"EMI ₹20,728/m"
2013,Maruti,A,Star VXI (ABS) AT,"18,678 km",Petrol,2nd owner,₹3.04L,"EMI ₹8,005/m"
2021,Maruti,Baleno,ZETA PETROL 1.2,"69,067 km",Petrol,1st owner,₹7.04L,"EMI ₹13,757/m"
2015,Honda,Brio,VX AT,"97,541 km",Petrol,1st owner,₹4.04L,"EMI ₹7,898/m"
2021,Tata,TIGOR,XZ PLUS PETROL,"51,029 km",Petrol,1st owner,₹6.54L,"EMI ₹12,786/m"
2023,Maruti,S,PRESSO VXI PLUS (O) AMT,"5,353 km",Petrol,1st owner,₹5.56L,"EMI ₹10,866/m"
2022,Toyota,URBAN,CRUISER PREMIUM GRADE MT,"8,351 km",Petrol,1st owner,₹10.04L,"EMI ₹19,101/m"
2021,Hyundai,NEW,I20 SPORTZ 1.2 MT,"28,850 km",Petrol,1st owner,₹7.40L,"EMI ₹14,467/m"
2018,Maruti,Dzire,ZXI PLUS AMT,"39,232 km",Petrol,1st owner,₹7.01L,"EMI ₹13,712/m"
2019,Honda,City,1.5L I-VTEC VX CVT,"52,099 km",Petrol,2nd owner,₹10.04L,"EMI ₹19,110/m"
2016,Honda,City,1.5L I-VTEC V MT,"61,495 km",Petrol,1st owner,₹6.50L,"EMI ₹12,701/m"
2017,Maruti,Baleno,DELTA PETROL 1.2,"69,538 km",Petrol,1st owner,₹5.49L,"EMI ₹10,741/m"
2022,Mahindra,XUV700,AX 7 LUXURY D AT 7 STR,"42,398 km",Diesel,1st owner,₹22.61L,"EMI ₹43,036/m"
2020,Maruti,Swift,ZXI,"24,235 km",Petrol,1st owner,₹6.47L,"EMI ₹12,649/m"
2016,Datsun,Go,T,Petrol,1st owner,N/A,₹2.41L,"EMI ₹5,361/m"
2021,KIA,SONET,HTX 1.0 IMT,"43,562 km",Petrol,2nd owner,₹8.72L,"EMI ₹16,598/m"
2017,Renault,Kwid,RXL 1.0,"84,810 km",Petrol,2nd owner,₹2.68L,"EMI ₹5,236/m"
2019,Honda,Amaze,1.2L I-VTEC S,"34,502 km",Petrol,1st owner,₹6.26L,"EMI ₹12,238/m"
2018,Maruti,Baleno,DELTA PETROL 1.2,"88,421 km",Petrol,1st owner,₹5.43L,"EMI ₹10,612/m"
2018,Maruti,Baleno,DELTA PETROL 1.2,"61,116 km",Petrol,1st owner,₹5.65L,"EMI ₹11,055/m"
2020,KIA,SELTOS,HTX 1.5 PETROL,"51,917 km",Petrol,1st owner,₹11.14L,"EMI ₹21,204/m"
2015,Maruti,Alto,800 LXI,"88,670 km",Petrol,1st owner,₹2.55L,"EMI ₹4,979/m"
2016,Ford,Ecosport,TITANIUM 1.5L PETROL AT,"84,675 km",Petrol,2nd owner,₹5.84L,"EMI ₹11,419/m"
2021,Hyundai,GRAND,I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"50,284 km",Petrol,1st owner,₹6.84L,"EMI ₹13,374/m"
2017,Hyundai,Elite,i20 SPORTZ 1.2,"94,325 km",Petrol,1st owner,₹5.85L,"EMI ₹11,437/m"
2022,Mahindra,XUV700,AX 7 P MT 7 STR,"18,293 km",Petrol,1st owner,₹19.00L,"EMI ₹36,165/m"
2021,Mahindra,XUV700,AX 7 P MT 7 STR,"52,387 km",Petrol,1st owner,₹18.33L,"EMI ₹34,889/m"
2021,Tata,ALTROZ,XE PETROL,"46,658 km",Petrol,1st owner,₹5.77L,"EMI ₹11,280/m"
2020,Maruti,Vitara,Brezza ZXI AT SHVS,"61,121 km",Petrol,1st owner,₹9.15L,"EMI ₹17,416/m"
2017,Renault,Kwid,CLIMBER 1.0 AMT,"50,534 km",Petrol,1st owner,₹3.61L,"EMI ₹7,064/m"
2021,Maruti,Baleno,ALPHA CVT PETROL 1.2,"48,428 km",Petrol,1st owner,₹8.25L,"EMI ₹15,703/m"
2017,Maruti,Vitara,Brezza ZDI PLUS,"36,184 km",Diesel,1st owner,₹8.23L,"EMI ₹15,664/m"
2014,Maruti,Swift,Dzire VXI,"89,851 km",Petrol,1st owner,₹4.39L,"EMI ₹9,765/m"
2015,Hyundai,Xcent,SX 1.2,"75,475 km",Petrol,1st owner,₹4.43L,"EMI ₹8,661/m"
2014,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"94,787 km",Petrol,2nd owner,₹3.52L,"EMI ₹7,830/m"
2017,Maruti,Wagon,R 1.0 VXI + (O) AMT,"56,259 km",Petrol,1st owner,₹4.17L,"EMI ₹8,152/m"
2015,Maruti,Swift,ZXI,"60,872 km",Petrol,2nd owner,₹4.65L,"EMI ₹9,085/m"
2014,Maruti,Swift,Dzire VXI,"58,797 km",Petrol,1st owner,₹4.59L,"EMI ₹10,210/m"
2015,Maruti,Swift,Dzire ZXI,"39,415 km",Petrol,1st owner,₹5.46L,"EMI ₹10,681/m"
2023,Maruti,New,Wagon-R VXI 1.0 AMT,"17,249 km",Petrol,1st owner,₹6.81L,"EMI ₹13,314/m"
2022,Mahindra,XUV300,W8 (O) 1.2 PETROL,"35,997 km",Petrol,1st owner,₹10.98L,"EMI ₹20,899/m"
2021,Tata,NEXON,XM PETROL,"53,746 km",Petrol,1st owner,₹8.01L,"EMI ₹15,246/m"
2018,Tata,NEXON,XZA PLUS PETROL,"37,150 km",Petrol,2nd owner,₹7.75L,"EMI ₹15,151/m"
2021,Tata,Tiago,XZ PLUS DUAL TONE PETROL,"33,436 km",Petrol,1st owner,₹6.19L,"EMI ₹12,102/m"
2011,Honda,Civic,1.8L I-VTEC V AT,"1,04,025 km",Petrol,2nd owner,₹3.43L,"EMI ₹16,146/m"
2013,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"78,925 km",Petrol,2nd owner,₹3.32L,"EMI ₹8,743/m"
2023,Tata,NEXON,XMA PETROL,"4,872 km",Petrol,1st owner,₹9.63L,"EMI ₹18,330/m"
2017,Skoda,Rapid,AMBITION 1.5 TDI,"1,18,882 km",Diesel,1st owner,₹6.87L,"EMI ₹15,282/m"
2019,Maruti,Dzire,ZXI PLUS,"83,105 km",Petrol,2nd owner,₹6.74L,"EMI ₹13,177/m"
2016,Hyundai,Grand,i10 ASTA (O) 1.2 KAPPA VTVT,"69,383 km",Petrol,2nd owner,₹4.44L,"EMI ₹8,680/m"
2019,Tata,Tiago,XZ PLUS PETROL,"26,907 km",Petrol,1st owner,₹5.44L,"EMI ₹10,635/m"
2020,Maruti,Swift,VXI,"76,004 km",Petrol,1st owner,₹5.95L,"EMI ₹11,632/m"
2019,Hyundai,NEW,SANTRO SPORTZ AMT,"32,265 km",Petrol,1st owner,₹5.02L,"EMI ₹9,814/m"
2020,KIA,SELTOS,HTX IVT 1.5 PETROL,"76,247 km",Petrol,1st owner,₹11.41L,"EMI ₹21,718/m"
2022,Maruti,S,PRESSO VXI+,"23,526 km",Petrol,2nd owner,₹4.54L,"EMI ₹8,870/m"
2019,Hyundai,Verna,1.6 VTVT SX (O) AT,"68,437 km",Petrol,1st owner,₹9.37L,"EMI ₹17,835/m"
2015,Maruti,Celerio,ZXI AMT,"55,429 km",Petrol,1st owner,₹3.93L,"EMI ₹7,677/m"
2020,Maruti,Vitara,Brezza ZXI AT SHVS,"43,369 km",Petrol,1st owner,₹8.97L,"EMI ₹17,074/m"
2022,KIA,SELTOS,GTX PLUS 1.5 DIESEL AT,"21,050 km",Diesel,1st owner,₹18.03L,"EMI ₹34,318/m"
2014,Hyundai,Verna,FLUIDIC 1.6 VTVT EX,"49,793 km",Petrol,1st owner,₹5.16L,"EMI ₹11,479/m"
2018,Hyundai,Creta,SX AT 1.6 PETROL,"38,493 km",Petrol,2nd owner,₹10.53L,"EMI ₹20,043/m"
2021,Maruti,Baleno,ZETA PETROL 1.2,"44,267 km",Petrol,1st owner,₹7.13L,"EMI ₹13,939/m"
2022,Honda,Amaze,1.2L I-VTEC S,"41,184 km",Petrol,1st owner,₹7.07L,"EMI ₹13,814/m"
2019,Maruti,Baleno,ZETA CVT PETROL 1.2,"40,250 km",Petrol,1st owner,₹6.72L,"EMI ₹13,138/m"
2016,Maruti,Swift,Dzire VXI,"60,581 km",Petrol,1st owner,₹5.40L,"EMI ₹10,557/m"
2023,Maruti,Dzire,VXI AMT,"14,809 km",Petrol,1st owner,₹8.07L,"EMI ₹15,354/m"
2019,Maruti,Dzire,VXI AMT,"9,056 km",Petrol,1st owner,₹6.90L,"EMI ₹13,491/m"
2019,Maruti,Swift,VXI AMT,"78,291 km",Petrol,1st owner,₹5.77L,"EMI ₹11,282/m"
2017,Maruti,Celerio,ZXI AMT,"40,400 km",Petrol,1st owner,₹4.49L,"EMI ₹8,778/m"
2022,Maruti,S,PRESSO VXI+,"9,961 km",Petrol,1st owner,₹4.83L,"EMI ₹9,449/m"
2017,Tata,Tiago,XZA PETROL,"1,14,543 km",Petrol,1st owner,₹4.28L,"EMI ₹9,531/m"
